Gene	CF	Population
Cfap97d2	Smarcb1	Leukemia
Cfd	Smarcb1	Leukemia
Chrdl2	Smarcb1	Leukemia
Chst2	Smarcb1	Leukemia
Cldn22	Smarcb1	Leukemia
Cldn34a	Smarcb1	Leukemia
Cldn4	Smarcb1	Leukemia
Clec10a	Smarcb1	Leukemia
Clec11a	Smarcb1	Leukemia
Clec2f	Smarcb1	Leukemia
Cmtm7	Smarcb1	Leukemia
Cnpy1	Smarcb1	Leukemia
Cntln	Smarcb1	Leukemia
Cntn1	Smarcb1	Leukemia
Col11a1	Smarcb1	Leukemia
Col25a1	Smarcb1	Leukemia
Col4a3	Smarcb1	Leukemia
Col4a6	Smarcb1	Leukemia
Commd3	Smarcb1	Leukemia
Coq6	Smarcb1	Leukemia
Coro2b	Smarcb1	Leukemia
Cox6c	Smarcb1	Leukemia
Cox7c	Smarcb1	Leukemia
Cpa3	Smarcb1	Leukemia
Cpb1	Smarcb1	Leukemia
Crbn	Smarcb1	Leukemia
Creb5	Smarcb1	Leukemia
Crhr1	Smarcb1	Leukemia
Crisp1	Smarcb1	Leukemia
Crtc1	Smarcb1	Leukemia
Cryba4	Smarcb1	Leukemia
Crybg3	Smarcb1	Leukemia
Cryga	Smarcb1	Leukemia
Cst10	Smarcb1	Leukemia
Ctdp1	Smarcb1	Leukemia
Ctla2a	Smarcb1	Leukemia
Ctla4	Smarcb1	Leukemia
Ctsb	Smarcb1	Leukemia
Cux1	Smarcb1	Leukemia
Cycs	Smarcb1	Leukemia
Cyld	Smarcb1	Leukemia
Cyp2g1	Smarcb1	Leukemia
Cyp2j6	Smarcb1	Leukemia
Cyp2r1	Smarcb1	Leukemia
Cyp2u1	Smarcb1	Leukemia
Cyth3	Smarcb1	Leukemia
Cytip	Smarcb1	Leukemia
D030046N08Rik	Smarcb1	Leukemia
D130052B06Rik	Smarcb1	Leukemia
D3Ertd751e	Smarcb1	Leukemia
D530033B14Rik	Smarcb1	Leukemia
D630008O14Rik	Smarcb1	Leukemia
D6Ertd474e	Smarcb1	Leukemia
D830013O20Rik	Smarcb1	Leukemia
D930007P13Rik	Smarcb1	Leukemia
Dapl1	Smarcb1	Leukemia
Dcc	Smarcb1	Leukemia
Dcstamp	Smarcb1	Leukemia
Dctd	Smarcb1	Leukemia
Dcun1d3	Smarcb1	Leukemia
Ddc	Smarcb1	Leukemia
Ddi2	Smarcb1	Leukemia
Ddx19a	Smarcb1	Leukemia
Ddx52	Smarcb1	Leukemia
Def8	Smarcb1	Leukemia
Deptor	Smarcb1	Leukemia
Det1	Smarcb1	Leukemia
Dgkd	Smarcb1	Leukemia
Dgkg	Smarcb1	Leukemia
Dgkh	Smarcb1	Leukemia
Dgki	Smarcb1	Leukemia
Dhrs3	Smarcb1	Leukemia
Dhrs4	Smarcb1	Leukemia
Dhrs9	Smarcb1	Leukemia
Dhx34	Smarcb1	Leukemia
Diaph2	Smarcb1	Leukemia
Dipk1b	Smarcb1	Leukemia
Dkk3	Smarcb1	Leukemia
Dlx4os	Smarcb1	Leukemia
Dmac1	Smarcb1	Leukemia
Dmc1	Smarcb1	Leukemia
Dnajc1	Smarcb1	Leukemia
Dnajc10	Smarcb1	Leukemia
Dnajc5b	Smarcb1	Leukemia
Dnajc6	Smarcb1	Leukemia
Dnase1	Smarcb1	Leukemia
Dnase1l3	Smarcb1	Leukemia
Dnm1l	Smarcb1	Leukemia
Dnm2	Smarcb1	Leukemia
Dock5	Smarcb1	Leukemia
Doxl1	Smarcb1	Leukemia
Dpy19l4	Smarcb1	Leukemia
Dpyd	Smarcb1	Leukemia
Dpys	Smarcb1	Leukemia
Dtd2	Smarcb1	Leukemia
Dtnb	Smarcb1	Leukemia
Dusp10	Smarcb1	Leukemia
Dusp22	Smarcb1	Leukemia
Dusp4	Smarcb1	Leukemia
E130008D07Rik	Smarcb1	Leukemia
E230034D01Rik	Smarcb1	Leukemia
E2f3	Smarcb1	Leukemia
Ecm1	Smarcb1	Leukemia
Ect2l	Smarcb1	Leukemia
Egln3	Smarcb1	Leukemia
Ehbp1	Smarcb1	Leukemia
Eif4a2	Smarcb1	Leukemia
Elovl6	Smarcb1	Leukemia
Elp2	Smarcb1	Leukemia
Eml6	Smarcb1	Leukemia
Emp1	Smarcb1	Leukemia
Emsy	Smarcb1	Leukemia
Enah	Smarcb1	Leukemia
Enkur	Smarcb1	Leukemia
Enpep	Smarcb1	Leukemia
Enpp4	Smarcb1	Leukemia
Enpp5	Smarcb1	Leukemia
Epb41l4a	Smarcb1	Leukemia
Epb41l4aos	Smarcb1	Leukemia
Ephb2	Smarcb1	Leukemia
Ephx1	Smarcb1	Leukemia
Ephx4	Smarcb1	Leukemia
Epo	Smarcb1	Leukemia
Epsti1	Smarcb1	Leukemia
Ercc3	Smarcb1	Leukemia
Ero1lb	Smarcb1	Leukemia
Esrp1	Smarcb1	Leukemia
Exo5	Smarcb1	Leukemia
Exoc6	Smarcb1	Leukemia
Ext1	Smarcb1	Leukemia
Ext2	Smarcb1	Leukemia
Eya1	Smarcb1	Leukemia
Eya2	Smarcb1	Leukemia
F10	Smarcb1	Leukemia
F2r	Smarcb1	Leukemia
F2rl3	Smarcb1	Leukemia
F630040K05Rik	Smarcb1	Leukemia
F730043M19Rik	Smarcb1	Leukemia
Faddos	Smarcb1	Leukemia
Fads2	Smarcb1	Leukemia
Fam107b	Smarcb1	Leukemia
Fam129b	Smarcb1	Leukemia
Fam155a	Smarcb1	Leukemia
Fam169a	Smarcb1	Leukemia
Fam171a1	Smarcb1	Leukemia
Fam181a	Smarcb1	Leukemia
Fam20a	Smarcb1	Leukemia
Fam217a	Smarcb1	Leukemia
Fam234b	Smarcb1	Leukemia
Fam43b	Smarcb1	Leukemia
Fam47c	Smarcb1	Leukemia
Fam81b	Smarcb1	Leukemia
Fam83g	Smarcb1	Leukemia
Fanca	Smarcb1	Leukemia
Fance	Smarcb1	Leukemia
Fas	Smarcb1	Leukemia
Fasl	Smarcb1	Leukemia
Fbln1	Smarcb1	Leukemia
Fbxo28	Smarcb1	Leukemia
Fbxo31	Smarcb1	Leukemia
Fer	Smarcb1	Leukemia
Fermt2	Smarcb1	Leukemia
Fgf1	Smarcb1	Leukemia
Filip1l	Smarcb1	Leukemia
Fkbp4	Smarcb1	Leukemia
Flrt2	Smarcb1	Leukemia
Flt1	Smarcb1	Leukemia
Fmo9	Smarcb1	Leukemia
Fnbp1	Smarcb1	Leukemia
Foxk1	Smarcb1	Leukemia
Foxn3	Smarcb1	Leukemia
Frk	Smarcb1	Leukemia
Fshr	Smarcb1	Leukemia
Fyb2	Smarcb1	Leukemia
Galk2	Smarcb1	Leukemia
Galnt18	Smarcb1	Leukemia
Galnt2	Smarcb1	Leukemia
Galntl5	Smarcb1	Leukemia
Gas2	Smarcb1	Leukemia
Gas2l3	Smarcb1	Leukemia
Gas6	Smarcb1	Leukemia
Gas7	Smarcb1	Leukemia
Gata3	Smarcb1	Leukemia
Gatad1	Smarcb1	Leukemia
Gbp10	Smarcb1	Leukemia
Gbp6	Smarcb1	Leukemia
Gch1	Smarcb1	Leukemia
Gcm1	Smarcb1	Leukemia
Gdf6	Smarcb1	Leukemia
Gdpd5	Smarcb1	Leukemia
Gemin2	Smarcb1	Leukemia
Ggt6	Smarcb1	Leukemia
Ggta1	Smarcb1	Leukemia
Gimap4	Smarcb1	Leukemia
Glb1	Smarcb1	Leukemia
Glp1r	Smarcb1	Leukemia
Glra3	Smarcb1	Leukemia
Gm10198	Smarcb1	Leukemia
Gm10217	Smarcb1	Leukemia
Gm10287	Smarcb1	Leukemia
Gm10371	Smarcb1	Leukemia
Gm10392	Smarcb1	Leukemia
Gm10419	Smarcb1	Leukemia
Gm10432	Smarcb1	Leukemia
Gm10441	Smarcb1	Leukemia
Gm10530	Smarcb1	Leukemia
Gm10556	Smarcb1	Leukemia
Gm10646	Smarcb1	Leukemia
Gm10974	Smarcb1	Leukemia
Gm1110	Smarcb1	Leukemia
Gm11186	Smarcb1	Leukemia
Gm11195	Smarcb1	Leukemia
Gm11210	Smarcb1	Leukemia
Gm1123	Smarcb1	Leukemia
Gm11266	Smarcb1	Leukemia
Gm11377	Smarcb1	Leukemia
Gm11482	Smarcb1	Leukemia
Gm11630	Smarcb1	Leukemia
Gm11635	Smarcb1	Leukemia
Gm11636	Smarcb1	Leukemia
Gm11682	Smarcb1	Leukemia
Gm11683	Smarcb1	Leukemia
Gm11684	Smarcb1	Leukemia
Gm11691	Smarcb1	Leukemia
Gm11795	Smarcb1	Leukemia
Gm11815	Smarcb1	Leukemia
Gm11948	Smarcb1	Leukemia
Gm12027	Smarcb1	Leukemia
Gm12037	Smarcb1	Leukemia
Gm12055	Smarcb1	Leukemia
Gm12122	Smarcb1	Leukemia
Gm12154	Smarcb1	Leukemia
Gm12249	Smarcb1	Leukemia
Gm12316	Smarcb1	Leukemia
Gm12381	Smarcb1	Leukemia
Gm12410	Smarcb1	Leukemia
Gm12493	Smarcb1	Leukemia
Gm12503	Smarcb1	Leukemia
Gm12580	Smarcb1	Leukemia
Gm12596	Smarcb1	Leukemia
Gm12600	Smarcb1	Leukemia
Gm12609	Smarcb1	Leukemia
Gm12631	Smarcb1	Leukemia
Gm12681	Smarcb1	Leukemia
Gm12705	Smarcb1	Leukemia
Gm12746	Smarcb1	Leukemia
Gm12843	Smarcb1	Leukemia
Gm12915	Smarcb1	Leukemia
Gm12979	Smarcb1	Leukemia
Gm12981	Smarcb1	Leukemia
Gm13012	Smarcb1	Leukemia
Gm13049	Smarcb1	Leukemia
Gm13091	Smarcb1	Leukemia
Gm13093	Smarcb1	Leukemia
Gm13218	Smarcb1	Leukemia
Gm13327	Smarcb1	Leukemia
Gm13412	Smarcb1	Leukemia
Gm13448	Smarcb1	Leukemia
Gm13467	Smarcb1	Leukemia
Gm13553	Smarcb1	Leukemia
Gm13554	Smarcb1	Leukemia
Gm13572	Smarcb1	Leukemia
Gm13583	Smarcb1	Leukemia
Gm13595	Smarcb1	Leukemia
Gm13618	Smarcb1	Leukemia
Gm13619	Smarcb1	Leukemia
Gm13657	Smarcb1	Leukemia
Gm13869	Smarcb1	Leukemia
Gm13912	Smarcb1	Leukemia
Gm13923	Smarcb1	Leukemia
Gm13982	Smarcb1	Leukemia
Gm14062	Smarcb1	Leukemia
Gm14135	Smarcb1	Leukemia
Gm14164	Smarcb1	Leukemia
Gm14268	Smarcb1	Leukemia
Gm14508	Smarcb1	Leukemia
Gm14642	Smarcb1	Leukemia
Gm14643	Smarcb1	Leukemia
Gm15323	Smarcb1	Leukemia
Gm15395	Smarcb1	Leukemia
Gm15407	Smarcb1	Leukemia
Gm15418	Smarcb1	Leukemia
Gm15420	Smarcb1	Leukemia
Gm15511	Smarcb1	Leukemia
Gm15561	Smarcb1	Leukemia
Gm15562	Smarcb1	Leukemia
Gm15579	Smarcb1	Leukemia
Gm15594	Smarcb1	Leukemia
Gm15657	Smarcb1	Leukemia
Gm15663	Smarcb1	Leukemia
Gm15699	Smarcb1	Leukemia
Gm15736	Smarcb1	Leukemia
Gm15749	Smarcb1	Leukemia
Gm15767	Smarcb1	Leukemia
Gm15821	Smarcb1	Leukemia
Gm15882	Smarcb1	Leukemia
Gm15895	Smarcb1	Leukemia
Gm15910	Smarcb1	Leukemia
Gm16000	Smarcb1	Leukemia
Gm16132	Smarcb1	Leukemia
Gm16152	Smarcb1	Leukemia
Gm16225	Smarcb1	Leukemia
Gm16252	Smarcb1	Leukemia
Gm16262	Smarcb1	Leukemia
Gm16291	Smarcb1	Leukemia
Gm16322	Smarcb1	Leukemia
Gm16336	Smarcb1	Leukemia
Gm16499	Smarcb1	Leukemia
Gm16534	Smarcb1	Leukemia
Gm16564	Smarcb1	Leukemia
Gm16596	Smarcb1	Leukemia
Gm16599	Smarcb1	Leukemia
Gm16701	Smarcb1	Leukemia
Gm16876	Smarcb1	Leukemia
Gm17018	Smarcb1	Leukemia
Gm17036	Smarcb1	Leukemia
Gm17041	Smarcb1	Leukemia
Gm17139	Smarcb1	Leukemia
Gm17173	Smarcb1	Leukemia
Gm17193	Smarcb1	Leukemia
Gm17200	Smarcb1	Leukemia
Gm17276	Smarcb1	Leukemia
Gm17332	Smarcb1	Leukemia
Gm17333	Smarcb1	Leukemia
Gm17359	Smarcb1	Leukemia
Gm17490	Smarcb1	Leukemia
Gm17491	Smarcb1	Leukemia
Gm17546	Smarcb1	Leukemia
Gm17631	Smarcb1	Leukemia
Gm17657	Smarcb1	Leukemia
Gm17746	Smarcb1	Leukemia
Gm17751	Smarcb1	Leukemia
Gm19303	Smarcb1	Leukemia
Gm19437	Smarcb1	Leukemia
Gm19792	Smarcb1	Leukemia
Gm1992	Smarcb1	Leukemia
Gm20208	Smarcb1	Leukemia
Gm20412	Smarcb1	Leukemia
Gm20467	Smarcb1	Leukemia
Gm20535	Smarcb1	Leukemia
Gm20619	Smarcb1	Leukemia
Gm20621	Smarcb1	Leukemia
Gm20636	Smarcb1	Leukemia
Gm20686	Smarcb1	Leukemia
Gm20712	Smarcb1	Leukemia
Gm20741	Smarcb1	Leukemia
Gm20753	Smarcb1	Leukemia
Gm20755	Smarcb1	Leukemia
Gm21750	Smarcb1	Leukemia
Gm26562	Smarcb1	Leukemia
Gm26608	Smarcb1	Leukemia
Gm26614	Smarcb1	Leukemia
Gm26642	Smarcb1	Leukemia
Gm26654	Smarcb1	Leukemia
Gm26769	Smarcb1	Leukemia
Gm26771	Smarcb1	Leukemia
Gm26831	Smarcb1	Leukemia
Gm26876	Smarcb1	Leukemia
Gm26902	Smarcb1	Leukemia
Gm26918	Smarcb1	Leukemia
Gm26969	Smarcb1	Leukemia
Gm26971	Smarcb1	Leukemia
Gm26982	Smarcb1	Leukemia
Gm27011	Smarcb1	Leukemia
Gm27019	Smarcb1	Leukemia
Gm27022	Smarcb1	Leukemia
Gm27177	Smarcb1	Leukemia
Gm27211	Smarcb1	Leukemia
Gm27226	Smarcb1	Leukemia
Gm27227	Smarcb1	Leukemia
Gm28065	Smarcb1	Leukemia
Gm28140	Smarcb1	Leukemia
Gm28183	Smarcb1	Leukemia
